fecha,cantidad
08/09/2022,27221
09/09/2022,29107
10/09/2022,5657
11/09/2022,1783
12/09/2022,24970
13/09/2022,25668
14/09/2022,25081
15/09/2022,24006
16/09/2022,25647
17/09/2022,4030
18/09/2022,1497
19/09/2022,21003
20/09/2022,20464
21/09/2022,16988
22/09/2022,23323
23/09/2022,23556
24/09/2022,3569
25/09/2022,1378
26/09/2022,20275
27/09/2022,18167
28/09/2022,16883
29/09/2022,18170
30/09/2022,18368
01/10/2022,2678
02/10/2022,718
03/10/2022,15145
04/10/2022,15133
05/10/2022,14793
06/10/2022,16884
07/10/2022,2296
08/10/2022,1666
09/10/2022,709
10/10/2022,839
11/10/2022,12559
12/10/2022,12055
13/10/2022,12430
14/10/2022,11469
15/10/2022,1480
16/10/2022,255
